,carbon_source,flux_minimum,carbon_yield_minimum,mass_yield_minimum,flux_maximum,carbon_yield_maximum,mass_yield_maximum,EX_co2_e,EX_o2_e
39,EX_co2_e,,,,,,,-2.3622141560798546,-5.299999999999998
40,EX_co2_e,,,,,,,-2.23098003629764,-12.06845372719948
41,EX_co2_e,,,,,,,-2.23098003629764,-11.71221932050477
42,EX_co2_e,,,,,,,-2.23098003629764,-11.35598491381006
43,EX_co2_e,,,,,,,-2.23098003629764,-10.999750507115351
44,EX_co2_e,,,,,,,-2.23098003629764,-10.64351610042064
45,EX_co2_e,,,,,,,-2.23098003629764,-10.287281693725932
46,EX_co2_e,,,,,,,-2.23098003629764,-9.931047287031223
47,EX_co2_e,,,,,,,-2.23098003629764,-9.574812880336513
48,EX_co2_e,,,,,,,-2.23098003629764,-9.218578473641802
49,EX_co2_e,,,,,,,-2.23098003629764,-8.862344066947093
50,EX_co2_e,,,,,,,-2.23098003629764,-8.506109660252385
51,EX_co2_e,,,,,,,-2.23098003629764,-8.149875253557674
52,EX_co2_e,0.0,0.0,,0.02632157609260638,14.217625945157252,,-2.23098003629764,-7.793640846862965
53,EX_co2_e,0.0,0.0,,0.011672650265370076,6.304993845269359,,-2.23098003629764,-7.437406440168256
54,EX_co2_e,,,,,,,-2.23098003629764,-7.081172033473546
55,EX_co2_e,,,,,,,-2.23098003629764,-6.7249376267788366
56,EX_co2_e,,,,,,,-2.23098003629764,-6.368703220084127
57,EX_co2_e,,,,,,,-2.23098003629764,-6.012468813389417
58,EX_co2_e,,,,,,,-2.23098003629764,-5.656234406694708
59,EX_co2_e,,,,,,,-2.23098003629764,-5.299999999999998
60,EX_co2_e,,,,,,,-2.099745916515426,-12.06845372719948
61,EX_co2_e,,,,,,,-2.099745916515426,-11.71221932050477
62,EX_co2_e,,,,,,,-2.099745916515426,-11.35598491381006
63,EX_co2_e,,,,,,,-2.099745916515426,-10.999750507115351
64,EX_co2_e,,,,,,,-2.099745916515426,-10.64351610042064
65,EX_co2_e,,,,,,,-2.099745916515426,-10.287281693725932
66,EX_co2_e,,,,,,,-2.099745916515426,-9.931047287031223
67,EX_co2_e,,,,,,,-2.099745916515426,-9.574812880336513
68,EX_co2_e,,,,,,,-2.099745916515426,-9.218578473641802
69,EX_co2_e,,,,,,,-2.099745916515426,-8.862344066947093
70,EX_co2_e,,,,,,,-2.099745916515426,-8.506109660252385
71,EX_co2_e,0.0,0.0,,0.04158532819402966,23.866254396240564,,-2.099745916515426,-8.149875253557674
72,EX_co2_e,0.0,0.0,,0.029755251493251655,17.076849759334507,,-2.099745916515426,-7.793640846862965
73,EX_co2_e,0.0,0.0,,0.016413521115306043,9.41989128108409,,-2.099745916515426,-7.437406440168256
74,EX_co2_e,0.0,0.0,,0.0010356119962588253,0.5943485462755138,,-2.099745916515426,-7.081172033473546
75,EX_co2_e,,,,,,,-2.099745916515426,-6.7249376267788366
76,EX_co2_e,,,,,,,-2.099745916515426,-6.368703220084127
77,EX_co2_e,,,,,,,-2.099745916515426,-6.012468813389417
78,EX_co2_e,,,,,,,-2.099745916515426,-5.656234406694708
79,EX_co2_e,,,,,,,-2.099745916515426,-5.299999999999998
80,EX_co2_e,,,,,,,-1.9685117967332122,-12.06845372719948
81,EX_co2_e,,,,,,,-1.9685117967332122,-11.71221932050477
82,EX_co2_e,,,,,,,-1.9685117967332122,-11.35598491381006
83,EX_co2_e,,,,,,,-1.9685117967332122,-10.999750507115351
84,EX_co2_e,,,,,,,-1.9685117967332122,-10.64351610042064
85,EX_co2_e,,,,,,,-1.9685117967332122,-10.287281693725932
86,EX_co2_e,,,,,,,-1.9685117967332122,-9.931047287031223
87,EX_co2_e,,,,,,,-1.9685117967332122,-9.574812880336513
88,EX_co2_e,,,,,,,-1.9685117967332122,-9.218578473641802
89,EX_co2_e,,,,,,,-1.9685117967332122,-8.862344066947093
90,EX_co2_e,0.0,1.1309272014900021e-28,,0.03417537229391656,20.921176826524924,,-1.9685117967332122,-8.506109660252385
91,EX_co2_e,0.0,0.0,,0.04121146290407274,25.228468479606114,,-1.9685117967332122,-8.149875253557674
92,EX_co2_e,0.0,0.0,,0.033071206831516334,20.2452385898922,,-1.9685117967332122,-7.793640846862965
93,EX_co2_e,0.0,0.0,,0.021154391965242287,12.950108375007618,,-1.9685117967332122,-7.437406440168256
94,EX_co2_e,0.0,0.0,,0.005776482846195484,3.5361961245453934,,-1.9685117967332122,-7.081172033473546
95,EX_co2_e,,,,,,,-1.9685117967332122,-6.7249376267788366
96,EX_co2_e,,,,,,,-1.9685117967332122,-6.368703220084127
97,EX_co2_e,,,,,,,-1.9685117967332122,-6.012468813389417
98,EX_co2_e,,,,,,,-1.9685117967332122,-5.656234406694708
99,EX_co2_e,,,,,,,-1.9685117967332122,-5.299999999999998
100,EX_co2_e,,,,,,,-1.837277676950998,-12.06845372719948
101,EX_co2_e,,,,,,,-1.837277676950998,-11.71221932050477
102,EX_co2_e,,,,,,,-1.837277676950998,-11.35598491381006
103,EX_co2_e,,,,,,,-1.837277676950998,-10.999750507115351
104,EX_co2_e,,,,,,,-1.837277676950998,-10.64351610042064
105,EX_co2_e,,,,,,,-1.837277676950998,-10.287281693725932
106,EX_co2_e,,,,,,,-1.837277676950998,-9.931047287031223
107,EX_co2_e,,,,,,,-1.837277676950998,-9.574812880336513
